id,name,country
1,Adana,Türkiye
2,Adıyaman,Türkiye
3,Afyonkarahisar,Türkiye
4,Ağrı,Türkiye
5,Amasya,Türkiye
6,Ankara,Türkiye
7,Antalya,Türkiye
8,Artvin,Türkiye
9,Aydın,Türkiye
10,Balıkesir,Türkiye
11,Bilecik,Türkiye
12,Bingöl,Türkiye
13,Bitlis,Türkiye
14,Bolu,Türkiye
15,Burdur,Türkiye
16,Bursa,Türkiye
17,Çanakkale,Türkiye
18,Çankırı,Türkiye
19,Çorum,Türkiye
20,Denizli,Türkiye
21,Diyarbakır,Türkiye
22,Edirne,Türkiye
23,Elazığ,Türkiye
24,Erzincan,Türkiye
25,Erzurum,Türkiye
26,Eskişehir,Türkiye
27,Gaziantep,Türkiye
28,Giresun,Türkiye
29,Gümüşhane,Türkiye
30,Hakkari,Türkiye
31,Hatay,Türkiye
32,Isparta,Türkiye
33,Mersin,Türkiye
34,İstanbul,Türkiye
35,İzmir,Türkiye
36,Kars,Türkiye
37,Kastamonu,Türkiye
38,Kayseri,Türkiye
39,Kırklareli,Türkiye
40,Kırşehir,Türkiye
41,Kocaeli,Türkiye
42,Konya,Türkiye
43,Kütahya,Türkiye
44,Malatya,Türkiye
45,Manisa,Türkiye
46,Kahramanmaraş,Türkiye
47,Mardin,Türkiye
48,Muğla,Türkiye
49,Muş,Türkiye
50,Nevşehir,Türkiye
51,Niğde,Türkiye
52,Ordu,Türkiye
53,Rize,Türkiye
54,Sakarya,Türkiye
55,Samsun,Türkiye
56,Siirt,Türkiye
57,Sinop,Türkiye
58,Sivas,Türkiye
59,Tekirdağ,Türkiye
60,Tokat,Türkiye
61,Trabzon,Türkiye
62,Tunceli,Türkiye
63,Şanlıurfa,Türkiye
64,Uşak,Türkiye
65,Van,Türkiye
66,Yozgat,Türkiye
67,Zonguldak,Türkiye
68,Aksaray,Türkiye
69,Bayburt,Türkiye
70,Karaman,Türkiye
71,Kırıkkale,Türkiye
72,Batman,Türkiye
73,Şırnak,Türkiye
74,Bartın,Türkiye
75,Ardahan,Türkiye
76,Iğdır,Türkiye
77,Yalova,Türkiye
78,Karabük,Türkiye
79,Kilis,Türkiye
80,Osmaniye,Türkiye
81,Düzce,Türkiye
