id,name,category,price
1,USB Cable 4606,Accessories,1924
2,Business Laptop 1779,Computer,3757
3,USB Cable 9774,Accessories,9035
4,Air Fryer 1635,Home,620
5,Monitor 9963,Computer,3911
6,Smart TV 9028,Electronics,9295
7,Blender 9754,Home,3711
8,Android Phone 7024,Phone,206
9,Android Phone 3627,Phone,4652
10,Office Chair 1619,Office,5614
11,Vacuum Cleaner 5735,Home,1684
12,Gaming Mouse 7627,Gaming,4433
13,Gaming Chair 1391,Gaming,2145
14,Console 6025,Gaming,4903
15,Gaming Mouse 850,Gaming,3250
16,Phone Case 1407,Accessories,3833
17,Office Chair 6327,Office,3914
18,5G Phone 2764,Phone,7528
19,Android Phone 4474,Phone,5920
20,Mouse Pad 2903,Accessories,1269
21,Game Controller 7673,Gaming,4110
22,Air Purifier 3698,Home,4522
23,USB Cable 3852,Accessories,5413
24,Notebook 6672,Office,625
25,Android Phone 9392,Phone,1184
26,Laptop Stand 8279,Accessories,5255
27,Coffee Machine 4439,Home,7617
28,Monitor 8930,Computer,4140
29,Flagship Phone 9660,Phone,9677
30,Coffee Machine 2366,Home,6030
31,Gaming Mouse 871,Gaming,8185
32,Desk Lamp 2721,Office,1896
33,Printer 1140,Office,7016
34,Air Purifier 7768,Home,6352
35,Console 288,Gaming,4219
36,Mouse Pad 4471,Accessories,1976
37,Office Chair 4908,Office,5673
38,Blender 153,Home,2691
39,Mouse Pad 3027,Accessories,4415
40,Gaming Headset 8417,Gaming,1843
41,Game Controller 6226,Gaming,3358
42,Printer 8789,Office,2746
43,Bluetooth Headset 8105,Electronics,9913
44,Bluetooth Headset 5138,Electronics,1932
45,Business Laptop 9395,Computer,1049
46,Power Bank 1233,Electronics,1503
47,Desk Lamp 2203,Office,8827
48,Mouse Pad 2805,Accessories,7887
49,Budget Phone 7032,Phone,8745
50,Business Laptop 5207,Computer,8935
51,Blender 8579,Home,6218
52,Coffee Machine 3781,Home,2082
53,Wireless Speaker 9738,Electronics,5639
54,Console 3708,Gaming,3870
55,Wireless Speaker 3850,Electronics,1263
56,Bluetooth Headset 1260,Electronics,614
57,Gaming Headset 8053,Gaming,3999
58,Business Laptop 9455,Computer,8934
59,Game Controller 7849,Gaming,7844
60,Desk Lamp 1645,Office,6769
61,Bluetooth Headset 7039,Electronics,7162
62,Air Fryer 1712,Home,7751
63,Bluetooth Headset 1890,Electronics,6696
64,Business Laptop 8886,Computer,3239
65,Blender 3106,Home,2396
66,Android Phone 1335,Phone,7679
67,Air Fryer 928,Home,9116
68,USB Cable 1628,Accessories,8956
69,Desk Lamp 6758,Office,3972
70,Coffee Machine 6670,Home,7986
71,Power Bank 135,Electronics,2797
72,Blender 4773,Home,4445
73,Blender 2636,Home,9205
74,Business Laptop 1058,Computer,4961
75,Gaming Mouse 5238,Gaming,8983
76,Smart Watch 7911,Electronics,921
77,Game Controller 1031,Gaming,8801
78,Game Controller 1222,Gaming,1412
79,Game Controller 6715,Gaming,1213
80,Smart TV 9585,Electronics,9433
81,Console 1443,Gaming,751
82,Air Purifier 8665,Home,9662
83,Android Phone 5247,Phone,4372
84,Desktop PC 2244,Computer,4451
85,HDMI Cable 5280,Accessories,5015
86,Office Chair 7608,Office,1288
87,Gaming Mouse 1300,Gaming,9324
88,Console 4445,Gaming,3592
89,Gaming Laptop 4102,Computer,5818
90,Android Phone 7279,Phone,4769
91,Notebook 8766,Office,9000
92,Bluetooth Headset 1797,Electronics,9186
93,Gaming Laptop 1853,Computer,4433
94,Laptop Stand 4562,Accessories,9164
95,5G Phone 3435,Phone,3550
96,Mouse Pad 8104,Accessories,4425
97,Smartphone 7039,Phone,932
98,Office Chair 158,Office,4633
99,5G Phone 2747,Phone,2243
100,Mouse Pad 7107,Accessories,7339
101,Gaming Mouse 1332,Gaming,258
102,Mouse Pad 690,Accessories,2542
103,Printer 9152,Office,6149
104,Business Laptop 785,Computer,7141
105,Smartphone 5962,Phone,6074
106,Gaming Laptop 5894,Computer,4188
107,Desk Organizer 2632,Office,9273
108,Business Laptop 6855,Computer,2762
109,Bluetooth Headset 6845,Electronics,3038
110,Notebook 2708,Office,4165
111,Desk Organizer 734,Office,1871
112,Desk Lamp 3369,Office,7811
113,Notebook 5100,Office,7641
114,Desk Lamp 487,Office,3828
115,HDMI Cable 5478,Accessories,3264
116,5G Phone 5853,Phone,1237
117,HDMI Cable 8885,Accessories,8446
118,Smartphone 4379,Phone,552
